band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",40,19333.333333333336,7.841263
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",41,19566.666666666668,7.547711
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",42,19800.0,6.766787
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",43,20033.333333333336,7.276821
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",44,20266.666666666668,6.460037
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",45,20500.0,8.583813
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",46,20733.333333333336,6.414461
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",47,20966.666666666668,7.12327
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",48,21200.0,6.206722
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",49,21433.333333333336,6.748705
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",50,21666.666666666668,7.198629
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",51,21900.0,5.782595
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",52,22133.333333333336,5.69149
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",53,22366.666666666668,4.515304
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",54,22600.0,4.655875
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",55,22833.333333333336,6.4604
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",56,23066.666666666668,6.247233
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",57,23300.0,6.772108
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",58,23533.333333333336,6.739625
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",59,23766.666666666668,4.93887
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",60,24000.0,4.752455
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",61,24233.333333333336,5.671587
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",62,24466.666666666668,7.364035
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",63,24700.0,6.538687
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",64,24933.333333333336,7.65892
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",65,25166.666666666668,4.80113
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",66,25400.0,5.225401
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",67,25633.333333333336,5.273657
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",68,25866.666666666668,4.600191
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",69,26100.0,5.133152
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",70,26333.333333333336,6.383218
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",71,26566.666666666668,6.102256
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",72,26800.0,5.18011
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",73,27033.333333333336,6.384487
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",74,27266.666666666668,4.686813
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",75,27500.0,5.139894
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",76,27733.333333333336,3.7249
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",77,27966.666666666668,2.869187
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",78,28200.0,4.158992
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",79,28433.333333333336,4.967347
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",80,28666.666666666668,5.219956
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",81,28900.0,4.85611
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",82,29133.333333333336,4.236583
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",83,29366.666666666668,5.370665
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",84,29600.0,6.818676
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",85,29833.333333333336,6.348696
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",86,30066.666666666668,4.560566
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",87,30300.0,5.19742
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",88,30533.333333333336,4.59218
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",89,30766.666666666668,4.373063
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",90,31000.0,2.002515
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",91,31233.333333333336,4.243621
