band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",58,23533.333333333336,5.694599
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",59,23766.666666666668,4.663591
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",60,24000.0,4.37005
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",61,24233.333333333336,4.075717
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",62,24466.666666666668,5.15955
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",63,24700.0,4.971723
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",64,24933.333333333336,4.802951
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",65,25166.666666666668,5.068617
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",66,25400.0,5.50087
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",67,25633.333333333336,6.063519
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",68,25866.666666666668,5.233822
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",69,26100.0,5.123701
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",70,26333.333333333336,6.2012
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",71,26566.666666666668,6.890697
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",72,26800.0,5.13114
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",73,27033.333333333336,4.653797
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",74,27266.666666666668,3.679419
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",75,27500.0,4.158153
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",76,27733.333333333336,3.909321
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",77,27966.666666666668,5.085526
